shipment_id,origin_port,destination,status,departure_date,arrival_date,customs_tax,import_tax,other_taxes,total_weight,carrier,shipment_value,estimated_delivery
"SHP011","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",5050,2400,50,1000,"Maersk",10000,"2024-07-01"
"SHP012","Shenzhen","Houston","Pending","2024-06-16","2024-06-26",600,250,60,1500,"COSCO",15000,"2024-07-05"
"SHP013","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",56546,220,55,45645,"MSC",12000,"2024-07-10"
"SHP014","Tianjin","Dallas","Pending","2024-06-18","2024-06-28",580,240,58,1300,"Hapag-Lloyd",13000,"2024-07-15"
"SHP015","Guangzhou","Denver","Pending","2024-06-19","2024-06-29",610,260,61,1400,"Evergreen",144000,"2024-07-20"
"SHP016","Qingdao","Seattle","Pending","2024-07-01","2024-07-10",520,2510,52,1100,"APM","11000","2024-07-15"
"SHP017","Wuhan","San Diego","Pending","2024-07-02","2024-07-11",540,230,54,1200,"CMA CGM","12000","2024-07-18"
"SHP018","Xi'an","New York City","Pending","2024-07-03","2024-07-12",560,240,56,1300,"OOCL","130600","2024-07-21"
"SHP019","Chengdu","Portland","Pending","2024-07-04","2024-07-13",580,250,58,1400,"Kunming Shipping","14000","2024-07-25"
"SHP020","Nanjing","Oakland","Pending","2024-07-05","2024-07-14",6500,260,60,1500,"ZIM","15000","2024-07-28"
"SHP021","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,7777,"Maersk",10000,"2024-07-01"
"SHP022","Shenzhen","Houston","Pending","2024-06-16","2024-06-26",600,250,60,1500,"COSCO",15000,"2024-07-05"
"SHP023","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,220,55,1200,"MSC",120050,"2024-07-10"
"SHP024","Tianjin","Dallas","Pending","2024-06-18","2024-06-28",580,240,58,1300,"Hapag-Lloyd",13000,"2024-07-15"
"SHP025","Guangzhou","Denver","Pending","2024-06-19","2024-06-29",610,260,61,1400,"Evergreen",14000,"2024-07-20"
"SHP026","Qingdao","Seattle","Pending","2024-07-01","2024-07-10",520,210,52,1100,"APM","11000","2024-07-15"
"SHP027","Wuhan","San Diego","Pending","2024-07-02","2024-07-11",540,230,54,1200,"CMA CGM","12000","2024-07-18"
"SHP028","Xi'an","New York City","Pending","2024-07-03","2024-07-12",560,240,56,1300,"OOCL","13000","2024-07-21"
"SHP029","Chengdu","Portland","Pending","2024-07-04","2024-07-13",580,250,58,1400,"Kunming Shipping","14000","2024-07-25"
"SHP030","Nanjing","Oakland","Pending","2024-07-05","2024-07-14",600,260,60,1500,"ZIM","15000","2024-07-28"
"SHP031","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,6,"Maersk",10000,"2024-07-01"
"SHP032","Shenzhen","Houston","Pending","2024-06-16","2024-06-26",600,250,60,1500,"COSCO",15000,"2024-07-05"
"SHP033","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,220,55,1200,"MSC",12000,"2024-07-10"
"SHP034","Tianjin","Dallas","Pending","2024-06-18","2024-06-28",580,240,58,1300,"Hapag-Lloyd",13000,"2024-07-15"
"SHP023","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,220,55,1200,"MSC",12000,"2024-07-10"
"SHP015","Guangzhou","Denver","Pending","2024-06-19","2024-06-29",610,260,61,1400,"Evergreen",14000,"2024-07-20"
"SHP011","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,1000,"Maersk",10000,"2024-07-01"
"SHP026","Qingdao","Seattle","Pending","2024-07-01","2024-07-10",520,210,52,1100,"APM","11000","2024-07-15"
"SHP021","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,1000,"Maersk",10000,"2024-07-01"
"SHP023","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,2520,55,222,"MSC",12000,"2024-07-10"
"SHP024","Tianjin","Dallas","Pending","2024-06-18","2024-06-28",580,240,58,1300,"Hapag-Lloyd",13000,"2024-07-15"
"SHP025","Guangzhou","Denver","Pending","2024-06-19","2024-06-29",610,260,61,1400,"Evergreen",14000,"2024-07-20"
"SHP011","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,1000,"Maersk",10000,"2024-07-01"
"SHP012","Shenzhen","Houston","Pending","2024-06-16","2024-06-26",600,250,60,1500,"COSCO",15000,"2024-07-05"
"SHP013","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,220,55,1200,"MSC",12000,"2024-07-10"
"SHP014","Tianjin","Dallas","Pending","2024-06-18","2024-06-28",580,240,58,1300,"Hapag-Lloyd",55,"2024-07-15"
"SHP015","Guangzhou","Denver","Pending","2024-06-19","2024-06-29",610,260,61,1400,"Evergreen",4444,"2024-07-20"
"SHP017","Wuhan","San Diego","Pending","2024-07-02","2024-07-11",540,230,54,1200,"CMA CGM","12000","2024-07-18"
"SHP011","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,1000,"Maersk",10000,"2024-07-01"
"SHP026","Qingdao","Seattle","Pending","2024-07-01","2024-07-10",520,210,52,1100,"APM","11000","2024-07-15"
"SHP021","Shanghai","Los Angeles","Pending","2024-06-15","2024-06-25",500,200,50,1000,"Maersk",10000,"2024-07-01"
"SHP023","Ningbo","San Francisco","Pending","2024-06-17","2024-06-27",550,220,55,1200,"MSC",12000,"2024-07-10"
